State,HS grad rate,hs grad to college rate
Alabama,87.1,62.1
Alaska,76.1,44
Arizona,79.5,52.3
Arkansas,87,63.5
California,83,60.9
Colorado,78.9,58.2
Connecticut,87.4,73.4
Delaware,85.5,63.2
District of Columbia,69.2,62.5
Florida,80.7,63.4
Georgia,79.4,63.6
Hawaii,82.7,60.8
Idaho,79.7,43.7
Illinois,85.5,61.5
Indiana,86.8,61.3
Iowa,91.3,67.2
Kansas,85.7,65.4
Kentucky,88.6,63.6
Louisiana,78.6,69.5
Maine,87,54.6
Maryland,87.6,63.9
Massachusetts,87.5,74.5
Michigan,79.7,64
Minnesota,82.2,69.9
Mississippi,82.3,72.2
Missouri,89,62.1
Montana,85.6,60.9
Nebraska,89.3,62.5
Nevada,73.6,52.7
New Hampshire,88.2,61.5
New Jersey,90.1,69.8
New Mexico,71,63.3
New York,80.4,69.3
North Carolina,85.9,62.9
North Dakota,87.5,65.9
Ohio,83.5,62.5
Oklahoma,81.6,63
Oregon,74.8,47.6
Pennsylvania,86.1,61.6
Rhode Island,82.8,62
South Carolina,82.6,68.1
South Dakota,83.9,67.2
Tennessee,88.5,64.5
Texas,89.1,58.7
Utah,85.2,45.3
Vermont,87.7,54
Virginia,86.7,67.7
Washington,79.7,50.1
West Virginia,89.8,54.7
Wisconsin,88.2,61.3
Wyoming,80,53.8
